17;1;601
44;1;601
150;1;601
202;1;601
442;1;601
17;1;601;0.239808
44;1;601;33.23
150;1;601;17.1722
202;1;601;9.01145
442;1;601;69.9712
17;1;601;0.239808
44;1;601;26.4104
150;1;601;11.8107
202;1;601;14.5792
442;1;601;135.596
17;1;601;0.239808
44;1;601;23.8066
150;1;601;13.6183
202;1;601;6.47659
442;1;601;75.4795
17;1;601;0.239808
44;1;601;29.3862
150;1;601;11.5502
202;1;601;6.92231
442;1;601;86.4075
17;1;601;0
44;1;601;21.6367
150;1;601;15.1348
202;1;601;10.0772
442;1;601;103.125
17;1;601;5.9952
44;1;601;10.6634
150;1;601;103.968
202;1;601;73.5408
442;1;601;181.99
17;1;601;3.30935
44;1;601;36.5158
150;1;601;83.2721
202;1;601;68.618
442;1;601;170.739
17;1;601;0
44;1;601;41.6615
150;1;601;167.341
202;1;601;141.417
442;1;601;517.267
44;1;1;43.5214
44;1;8;53.8128
44;1;20;37.7557
44;1;94;25.9144
44;1;41;32.548
150;1;219;17.1875
150;1;305;15.0582
44;1;145;42.5294
44;1;36;33.292
202;1;383;11.2475
150;1;204;15.9314
44;1;33;38.6857
17;1;13;0.239808
1032;1;601;330.238
